,sentence,entities,countries_entities
13,"After a period of diplomatic and military escalation known as the July Crisis, by the end of July 1914 two coalitions were at war: the Allies, comprised initially of the British Empire, France, and the Russian Empire; and the Central Powers, comprised initially of the German Empire and Austria-Hungary.[1][2]In 1917, Russia ended hostile actions against the Central Powers after the fall of the Tsar.","['the July Crisis', 'the end of July 1914', 'the British Empire', 'France', 'the Russian Empire', 'the Central Powers', 'the German Empire', 'Austria-Hungary.[1][2]In 1917', 'Russia', 'the Central Powers', 'Tsar']","['France', 'Russia']"
14,"The Bolsheviks negotiated the Treaty of Brest-Litovsk with Germany, although it was a huge cost to Russia.","['Bolsheviks', 'Germany', 'Russia']","['Germany', 'Russia']"
15,"In the treaty, Bolshevik Russia ceded the Baltic states to Germany, and its province of Kars Oblast in the South Caucasus to the Ottoman Empire.","['Bolshevik Russia', 'Baltic', 'Germany', 'Kars Oblast', 'the South Caucasus', 'the Ottoman Empire']",['Germany']
16,"It also recognized the independence of Ukraine.[3] Although Germany shifted huge forces from the eastern to the western front after signing the treaty, it was unable to stop the Allied advance, especially with the entrance of American troops in 1918.[4]The war itself was also a chance for the combatant nations to show off their military strength and technological ingenuity.","['Germany', 'Allied', 'American']",['Germany']
21,"Many Germans felt these reparations were unfair because they did not actually ""lose"" the war nor did they feel they caused the war (see Stab-in-the-back legend).[10] Germany was never occupied by Allied troops, yet it had to accept a liberal democratic government imposed on it by the victors after the abdication of Kaiser Wilhelm.[11]Much of the map of Europe was redrawn by the victors based upon the theory that future wars could be prevented if all ethnic groups had their own ""homeland"".  ","['Germans', 'Germany', 'Allied', 'Kaiser', 'Europe']",['Germany']
36,"Germany, 1933Fascism first appeared in Italy with the rise to power of Benito Mussolini in 1922.[23]","['Germany', 'first', 'Italy', 'Benito Mussolini', '1922.[23']","['Germany', 'Italy']"
37,"The ideology was supported by a large proportion of the upper classes as a strong challenge to the threat of communism.[24]When Adolf Hitler came to power in Germany in 1933, a new variant of fascism called Nazism took over Germany and ended the German experiment with democracy.","['Adolf Hitler', 'Germany', '1933', 'Nazism', 'Germany', 'German']","['Germany', 'Germany']"
38,"The Nazi Party in Germany was dedicated to the restoration of German honor and prestige, the unification of German-speaking peoples, and the annexation of Central and Eastern Europe as vassal states, with the Slavic population to act as slave labor to serve German economic interests.[25]  ","['The Nazi Party', 'Germany', 'German', 'German', 'Central and Eastern Europe', 'Slavic', 'German']",['Germany']
39,"There was also a strong appeal to a mythical racial purity (the idea that Germans were the Herrenvolk or the ""master race""), and a vicious antisemitism which promoted the idea of Jews as subhuman (Untermensch) and worthy only of extermination.[26]Many people in Western Europe and the United States greeted the rise of Hitler with relief or indifference.[27] They could see nothing wrong with a strong Germany ready to take on the communist menace to the east.","['Germans', 'Herrenvolk', 'Jews', 'Untermensch', 'extermination.[26]Many', 'Western Europe', 'the United States', 'Hitler', 'Germany']",['Germany']
40,"Antisemitism during the Great Depression was widespread as many were content to blame the Jews for causing the economic downturn.[28]Hitler began to put his plan in motion, annexing Austria in the Anschluss, or reunification of Austria to Germany, in 1938.[29]","['the Great Depression', 'Jews', 'Austria', 'Austria', 'Germany', '1938.[29']","['Austria', 'Austria', 'Germany']"
45,Spain also became a dictatorship under the leadership of General Francisco Franco after the Spanish Civil War.[33] Totalitarian states attempted to achieve total control over their subjects as well as their total loyalty.,"['Spain', 'Francisco Franco', 'the Spanish', 'Totalitarian']",['Spain']
50,"The signing of the Molotov–Ribbentrop Pact in Moscow, 23 August 1939Soon after the events in Czechoslovakia, Britain and France issued assurances of protection to Poland, which seemed to be next on Hitler's list.","['Moscow', '23 August 1939Soon', 'Czechoslovakia', 'Britain', 'France', 'Poland', 'Hitler']","['France', 'Poland']"
51,"World War II officially began on 1 September 1939, when Hitler unleashed his Blitzkrieg, or lightning war, against Poland.","['World War II', '1 September 1939', 'Hitler', 'Blitzkrieg', 'Poland']",['Poland']
52,"Britain and France, much to Hitler's surprise, immediately declared war upon Germany, but the help they delivered to Poland was negligible.[34] Sixteen days later, Poland was attacked from the East by Soviet Union, acting in a secret alliance with Nazi Germany.[35]","['Britain', 'France', 'Hitler', 'Germany', 'Poland', 'Sixteen days later', 'Poland', 'East', 'Soviet Union', 'Nazi']","['France', 'Germany', 'Poland', 'Poland']"
56,"This change smashed any expectations that the Second World War would be fought in the trenches like the first.[36]As Hitler's forces conquered Poland, the Soviet Union, under General Secretary Joseph Stalin, was acting out guarantees of territory under a secret part of a nonaggression pact between the USSR and Germany known as the Molotov–Ribbentrop Pact.","['the Second World War', 'Hitler', 'Poland', 'the Soviet Union', 'Joseph Stalin', 'USSR', 'Germany']","['Poland', 'Germany']"
57,"This treaty gave Stalin free rein to take the Baltic republics of Estonia, Latvia, and Lithuania, as well as Eastern Poland, all of which would remain in Soviet possession after the war.[37] Stalin also launched an attack on Finland, which he hoped to reduce to little more than a Soviet puppet state, but the Red Army met staunch Finnish resistance in what became known as the Winter War and succeeded in gaining only limited territory from the Finns.[38]","['Stalin', 'Baltic', 'Estonia', 'Latvia', 'Lithuania', 'Eastern Poland', 'Soviet', 'Stalin', 'Finland', 'Soviet', 'the Red Army', 'Finnish', 'the Winter War']","['Estonia', 'Latvia', 'Lithuania', 'Finland']"
58,"This action would later cause the Finns to ally with Germany when its attack on the Soviet Union came in 1941.[39]Blitzkrieg[edit]After the defeat of Poland, a period known as the Phony War ensued during the winter of 1939–1940, which saw only limited military land operation on the Western Front.[40]","['Finns', 'Germany', 'the Soviet Union', '1941.[39]Blitzkrieg[edit]After', 'Poland', 'the Phony War', 'the winter of 1939–1940']","['Germany', 'Poland']"
59,"All of this changed on 10 May 1940, when the Germans launched a massive attack on the Low Countries (Belgium, the Netherlands, and Luxembourg), likely to surmount the Maginot Line of defenses on the Franco-German border.[41]","['10 May 1940', 'Germans', 'the Low Countries (Belgium', 'Netherlands', 'Luxembourg', 'the Maginot Line']","['Netherlands', 'Luxembourg']"
61,"The worst of this was that King Leopold III of Belgium surrendered to the Germans on 28 May without warning his allies, exposing the entire flank of the Allied forces to German panzer groups.[42]","['King Leopold III', 'Belgium', 'Germans', '28 May', 'Allied', 'German']",['Belgium']
62,"Following the conquest of the Low Countries, Hitler occupied Denmark and Norway, beginning on 9 April 1940.","['Hitler', 'Denmark', 'Norway', '9 April 1940']","['Denmark', 'Norway']"
63,Norway was strategically important because of its sea routes which supplied crucial Swedish ore to the Nazi war machine.,"['Norway', 'Swedish', 'Nazi']",['Norway']
64,"Norway held on for a few crucial weeks, but Denmark surrendered after only six hours.[43][44] Sweden was the only Scandinavian country to successfully maintain its neutrality throughout the war, with occasional breaches of neutrality in favor of both Germany and the Western Allies.[45]With the disaster in the Low Countries, France, considered at the time to have had the finest army in the world, lasted only four weeks, with Paris being occupied on 14 June.","['Norway', 'a few crucial weeks', 'Denmark', 'only six', 'Sweden', 'Scandinavian', 'Germany', 'Western', 'France', 'only four weeks', 'Paris', '14 June']","['Norway', 'Denmark', 'Sweden', 'Germany', 'France']"
66,"The debacle in France also led to one of the war's greatest mysteries, and Hitler's first great blunder, Dunkirk, where a third of a million trapped British and French soldiers were evacuated by not only British war boats, but every craft the army could find, including fishing boats.","['France', 'one', 'Hitler', 'first', 'Dunkirk', 'a third', 'million', 'British', 'French', 'British']",['France']
68,"Hitler did not occupy all of France, but about three-quarters, including all of the Atlantic coast, allowing Marshal Pétain to remain as dictator of an area known as Vichy France.[48]","['Hitler', 'France', 'about three-quarters', 'Atlantic', 'Marshal Pétain']",['France']
70,"At this moment, Italy, under Benito Mussolini, declared war on the Allies on 10 June, thinking that the war was almost over, but he managed only to occupy a few hundred yards of French territory.[50] Throughout the war, the Italians would be more of a burden to the Nazis than a boon, and would later cost them precious time in Greece.[51][52]German Heinkel He 111 bombers during the Battle of BritainHitler now turned his eyes on Great Britain, which stood alone against him.","['Italy', 'Benito Mussolini', '10 June', 'a few hundred yards', 'French', 'Italians', 'Nazis', '111', 'the Battle of BritainHitler', 'Great Britain']",['Italy']
72,"The British at first suffered steady losses, but eventually managed to turn the air war against Germany, taking down 2,698 German planes throughout the summer of 1940 to only 915 Royal Air Force (RAF) losses.[53] The key turning point came when the Germans discontinued successful attacks against British airplane factories and radar command and coordination stations and turned to civilian bombing known as terror bombing using the distinctive ""bomb"" sound created by the German dive-bomber, the Stuka.[54]","['British', 'first', 'Germany', '2,698', 'German', 'the summer of 1940', '915', 'Royal Air Force', 'RAF', 'Germans', 'British', 'German']",['Germany']
81,"However, a pro-allied coup in Yugoslavia and Mussolini's almost utter defeat in his invasion of Greece from occupied Albania prompted Hitler to launch a personal campaign of revenge in Yugoslavia and to occupy Greece at the same time.[58] The Greeks would have a bitter revenge of sorts; the attack caused a delay of several crucial weeks of the invasion of the USSR, potentially hampering it.[59]Europe at the height of German control in 1942On 22 June 1941, Hitler attacked Stalin with the largest army the world had ever seen.","['Yugoslavia', 'Mussolini', 'Greece', 'Albania', 'Hitler', 'Yugoslavia', 'Greece', 'several crucial weeks', 'USSR', 'it.[59]Europe', 'German', '1942On 22 June 1941', 'Hitler', 'Stalin']","['Greece', 'Albania', 'Greece']"
84,"Therefore, the Soviet army was largely unprepared and suffered massive setbacks in the early part of the war, despite Stalin's orders to counterattack the Germans.[61] Throughout 1941, German forces, divided into 3 army groups (Army Group A, Army Group B, and Army Group C), occupied the territories of the present day Ukraine and Belarus, laid siege to Leningrad (present day Saint Petersburg), and advanced to within 15 miles of Moscow.","['Soviet', 'Stalin', 'the Germans.[61] Throughout 1941', 'German', '3', 'Army Group', 'Army Group', 'Army Group C', 'Ukraine', 'Belarus', 'Leningrad', 'Saint Petersburg', '15 miles', 'Moscow']","['Ukraine', 'Belarus']"
87,Recently arrived troops from the east under the command of Marshal Georgy Zhukov counterattacked the Germans and drove them from Moscow.[62]Mussolini had launched an offensive in North Africa from Italian-controlled Libya into British-controlled Egypt.,"['Georgy Zhukov', 'Germans', 'Moscow.[62]Mussolini', 'North Africa', 'Italian', 'Libya', 'British', 'Egypt']","['Libya', 'Egypt']"
88,"However, the British smashed the Italians and were on the verge of taking Libya.","['British', 'Italians', 'Libya']",['Libya']
